subject,subjNum,condition,runNum,trial,playerNum,endowment,propReturned,returned,trialRT,optimal_choice,binned_trial_num
5,4005,1,2,34,2,7.5,0.45,13.5,1.004392331,10,10
5,4005,1,2,35,1,2.5,0,0,1.182158811,0,11
5,4005,1,2,36,4,7.5,0.25,7.5,1.536923281,10,9
5,4005,1,2,37,3,5,0.2,4,1.532697025,0,7
5,4005,1,2,38,4,10,0.2,8,1.199037401,0,10
5,4005,1,2,39,1,0,0,0,1.131298038,0,12
5,4005,1,2,40,2,7.5,0.45,13.5,1.176348569,10,11
5,4005,1,2,41,3,2.5,0.3,3,1.259192572,10,8
5,4005,1,2,42,3,2.5,0.2,2,1.260294349,0,9
5,4005,1,2,43,2,7.5,0.45,13.5,2.650639208,10,12
5,4005,1,2,44,3,5,0.35,7,1.199455166,10,10
5,4005,1,2,45,1,0,0.05,0,0.62036522,0,13
5,4005,1,2,46,3,5,0.15,3,1.266730085,0,11
5,4005,1,2,47,1,2.5,0,0,1.158811157,0,14
5,4005,1,2,48,3,5,0.15,3,1.120829232,0,12
5,4005,1,2,49,1,0,0.15,0,1.021363263,0,15
5,4005,1,2,50,4,7.5,0.05,1.5,1.138886333,0,11
5,4005,1,2,51,3,0,0.35,0,0.899228668,10,13
5,4005,1,2,52,2,5,0.5,10,0.880700958,10,13
5,4005,1,2,53,3,2.5,0.25,2.5,1.094523323,10,14
5,4005,1,2,54,2,5,0.45,9,0.757400304,10,14
5,4005,1,2,55,3,2.5,0.3,3,1.12555158,10,15
5,4005,1,2,56,4,5,0.3,6,1.220591213,10,12
5,4005,1,2,57,4,7.5,0,0,1.067390802,0,13
5,4005,1,2,58,4,2.5,0.5,5,1.00201944,10,14
5,4005,1,2,59,4,2.5,0.15,1.5,1.057349687,0,15
5,4005,1,2,60,2,2.5,0.5,5,1.279926239,10,15
6,4006,1,1,1,1,2.5,0.2,2,2.226939758,0,1
6,4006,1,1,2,2,2.5,0.5,5,1.546687016,10,1
6,4006,1,1,3,1,0,0.15,0,2.236433709,0,2
6,4006,1,1,4,2,2.5,0.35,3.5,1.382830295,10,2
6,4006,1,1,5,4,2.5,0.25,2.5,2.543997182,10,1
6,4006,1,1,6,3,2.5,0.3,3,1.528524141,10,1
6,4006,1,1,7,1,0,0.05,0,2.386902445,0,3
6,4006,1,1,8,3,5,0.35,7,1.768062008,10,2
6,4006,1,1,9,4,2.5,0.3,3,1.530979431,10,2
6,4006,1,1,10,2,7.5,0.5,15,1.297074433,10,3
6,4006,1,1,11,2,10,0.5,20,1.673363874,10,4
6,4006,1,1,12,3,2.5,0.3,3,1.711037695,10,3
6,4006,1,1,13,4,2.5,0.25,2.5,1.719331601,10,3
6,4006,1,1,14,3,2.5,0.2,2,2.198286687,0,4
6,4006,1,1,15,3,0,0.35,0,1.265225668,10,5
6,4006,1,1,16,3,0,0.2,0,1.530939916,0,6
6,4006,1,1,17,3,0,0.25,0,2.474449382,10,7
6,4006,1,1,18,4,-1,0.45,-1,-1,10,4
6,4006,1,1,19,2,10,0.5,20,1.110841125,10,5
6,4006,1,1,20,4,2.5,0.05,0.5,1.845550037,0,5
6,4006,1,1,21,3,0,0.15,0,1.310202344,0,8
6,4006,1,1,22,1,2.5,0.1,1,1.717724031,0,4
6,4006,1,1,23,4,0,0,0,1.728936026,0,6
6,4006,1,1,24,3,0,0.25,0,1.475538434,10,9
6,4006,1,1,25,1,0,0,0,0.962682173,0,5
6,4006,1,1,26,3,0,0.3,0,0.994212378,10,10
6,4006,1,1,27,4,0,0.5,0,1.019084007,10,7
6,4006,1,1,28,1,0,0,0,1.324755086,0,6
6,4006,1,1,29,4,0,0.2,0,1.83576216,0,8
6,4006,1,1,30,2,10,0.5,20,1.478832528,10,6
6,4006,1,2,31,1,0,0,0,1.379924232,0,7
6,4006,1,2,32,2,10,0.3,12,1.152640727,10,7
6,4006,1,2,33,1,2.5,0,0,0.849559915,0,8
6,4006,1,2,34,1,0,0.05,0,1.357684019,0,9
6,4006,1,2,35,1,0,0,0,1.363549936,0,10
6,4006,1,2,36,1,0,0.05,0,1.898330833,0,11
6,4006,1,2,37,1,2.5,0.1,1,1.62587853,0,12
6,4006,1,2,38,2,10,0.35,14,1.537589219,10,8
6,4006,1,2,39,2,10,0.4,16,1.003245929,10,9
6,4006,1,2,40,3,2.5,0.15,1.5,2.548732244,0,11
6,4006,1,2,41,2,10,0.45,18,1.412793785,10,10
6,4006,1,2,42,4,0,0.15,0,1.483415618,0,9
6,4006,1,2,43,4,0,0.1,0,0.96719359,0,10
6,4006,1,2,44,4,0,0.2,0,1.089358212,0,11
6,4006,1,2,45,4,0,0.3,0,1.252113376,10,12
6,4006,1,2,46,3,0,0.2,0,1.462555762,0,12
6,4006,1,2,47,4,0,0.4,0,0.936944237,10,13
6,4006,1,2,48,4,0,0.35,0,1.07807064,10,14
6,4006,1,2,49,1,0,0.15,0,1.042744837,0,13
6,4006,1,2,50,2,10,0.45,18,1.721987246,10,11
6,4006,1,2,51,2,10,0.4,16,1.422245782,10,12
6,4006,1,2,52,3,0,0.25,0,1.216023116,10,13
6,4006,1,2,53,3,0,0.25,0,1.184322698,10,14
6,4006,1,2,54,2,10,0.45,18,1.24038232,10,13
6,4006,1,2,55,1,0,0.1,0,1.625759577,0,14
6,4006,1,2,56,4,0,0.25,0,0.953206282,10,15
6,4006,1,2,57,2,10,0.45,18,1.472905291,10,14
6,4006,1,2,58,1,0,0.05,0,1.155039606,0,15
6,4006,1,2,59,3,0,0.25,0,1.195453534,10,15
6,4006,1,2,60,2,10,0.4,16,1.299547117,10,15
