subjNum,subject,condition,LRPos,LRNeg,bias,m,prior,caPos,caNeg,BayesLL,AIC
4013,13,2,0.039972001,0.094819691,5.61E-09,1.999999939,0.198496915,1.34E-09,0.180688983,217.2955193,-448.5910386
4014,14,2,0.094700711,0.02183678,0.779408915,0.881101256,0.008599785,0.537489103,0.383870081,124.3057903,-262.6115806
4015,15,2,0.18967088,0.056409538,1.238303429,1.998523805,1.259073662,0.99898525,0.933249903,93.42262363,-200.8452473
4016,16,2,0.10103969,0.399198859,1.889674878,0.687193539,0.272444345,0.586523852,0.121223445,28.59566246,-71.19132492
4017,17,2,0.69060755,0.999999994,1.999999998,1.999999996,1.494548598,0.6293547,3.16E-10,78.45926095,-170.9185219
4018,18,2,0.023620699,0.256872881,0.077214567,1.999999981,4.85E-09,0.999999989,0.410461119,413.9572255,-841.914451
4019,19,2,0.521450604,0.039006192,1.750646253,1.999999982,1.638154288,0.999999996,0.99999997,158.5651306,-331.1302613
4020,20,2,0.244000146,0.042812792,1.999999964,1.999999455,1.986587649,0.230009084,0.270330033,63.81370457,-141.6274091
4021,21,2,0.999999991,0.610925608,1.237902682,1.999999993,0.432262332,0.999999996,0.157684069,50.18318263,-114.3663653
4022,22,2,0.576053655,0.109201223,1.999999993,0.313266911,3.73E-09,6.34E-10,0.723014141,139.8560484,-293.7120969
4023,23,2,0.093257051,0.999999971,6.48E-08,1.999999977,1.999999952,0.999999985,0.766459953,8.179055443,-30.35811089
4024,24,2,0.212065791,0.221042107,0.746918674,1.999999984,0.933570258,0.999999997,0.655201449,102.3360815,-218.6721631
4025,25,2,0.309358918,0.227544327,1.025094545,1.999998994,1.345510798,0.999999893,0.997330465,216.4023382,-446.8046763
4026,26,2,0.00500663,0.007302556,1.358590537,1.999996891,1.341930073,0.999997565,0.999999046,103.3873353,-220.7746707
4027,27,2,0.061908971,0.120580859,1.761721166,1.999999991,1.245263206,0.999999989,0.999999997,54.95027689,-123.9005538
4028,28,2,0.00659855,0.017378911,1.640609922,1.999999895,1.999999944,3.85E-09,0.050384015,215.57257,-445.14514
4029,29,2,0.132888141,0.999999994,0.528204797,1.999999922,0.632846675,0.7652449,0.276483492,122.8476711,-259.6953422
4030,30,2,0.047154857,0.007960626,1.75065152,1.999990618,1.999998077,0.095543181,0.352638743,201.1565738,-416.3131475
