subject,condition,trial,delta,q_val
2,1,53,0.184878994,-0.079873402
2,1,54,-0.772784606,0.678980074
2,1,55,-3.611917498,1.173484554
2,1,56,-0.637981127,0.560539728
2,1,57,-3.166242817,0.781908136
2,1,58,-0.524599644,0.460921067
2,1,59,-2.463027596,8.16405276
2,1,60,0.206738679,-0.089317457
3,1,1,-2.500000001,-0.47188029
3,1,2,0,-0.47188029
3,1,3,-1.42E-09,1.16E-09
3,1,4,2.499999999,0.014735452
3,1,5,1.999999999,0.011788362
3,1,6,4.988211638,0.041189779
3,1,7,-2.000000002,-0.377504232
3,1,8,0.492622581,0.010281025
3,1,9,0.479238323,-0.476413606
3,1,10,-2.010281025,-0.369163773
3,1,11,0.884900089,-0.379684328
3,1,12,2.369163773,-0.355199495
3,1,13,1.973564111,0.038068431
3,1,14,4.961931569,0.06731495
3,1,15,-1.516190538,-0.769993635
3,1,16,0.385262418,-0.382991611
3,1,17,0.769993635,-0.765455154
3,1,18,0.860777584,-0.355704006
3,1,19,-0.06173686,0.050083897
3,1,20,2.449916103,0.064524144
3,1,21,-0.116781258,-0.405261452
3,1,22,0.905261452,-0.399925678
3,1,23,0,-0.766111925
3,1,24,0.356360777,-0.354260322
3,1,25,0.399925678,-0.397568444
3,1,26,-1.145739678,-0.570521112
3,1,27,0.77032712,-0.765786673
3,1,28,0,-0.570521111
3,1,29,0.570521111,-0.567158357
3,1,30,4.440120692,0.086050179
3,1,31,4.413949821,0.112066795
3,1,32,0.765786672,-0.761272987
3,1,33,-0.112066795,0.09091395
3,1,34,4.90908605,0.119848987
3,1,35,3.880151013,0.142719296
3,1,36,1.402195932,-0.393931137
3,1,37,0.393931137,-0.391609236
3,1,38,2.857280704,0.159560623
3,1,39,-0.608390765,-0.50644428
3,1,40,-1.93019107,-0.93413658
3,1,41,0.513545485,-0.510518555
3,1,42,0.510518555,-0.507509467
3,1,43,0.93413658,-0.92863061
3,1,44,0.92863061,-0.923157094
3,1,45,0.771024766,-0.766480207
3,1,46,0.923157094,-0.91771584
3,1,47,0.91771584,-0.912306658
3,1,48,0.766480207,-0.761962435
3,1,49,1.507509467,-0.498623934
3,1,50,-0.001376066,-0.49888367
3,1,51,7.349783923,0.193537027
3,1,52,0.912311719,-0.906934389
3,1,53,0.761967496,-0.757476322
3,1,54,0.757476322,-0.75301162
3,1,55,5.806462973,0.227761366
3,1,56,0.75301162,-0.748573234
3,1,57,0.998883668,-0.492996067
3,1,58,0.748573234,-0.744161008
3,1,59,-1.755838992,-1.075579334
3,1,60,-0.221301605,0.179530459
4,1,1,-0.697957108,0.613604161
4,1,2,-0.197957108,0.674032621
4,1,3,-4.697957108,0.130176481
4,1,4,-1.130176481,-0.006413168
4,1,5,3.302042892,2.68322558
4,1,6,3.31677442,4.677351005
4,1,7,5.322648995,7.877456995
4,1,8,-0.89539344,0.787178946
4,1,9,-1.71722879,0.009689807
4,1,10,1.229505555,1.509703079
4,1,11,-0.842646196,0.740806572
4,1,12,-3.501515974,1.078333537
4,1,13,2.157069433,9.139813157
4,1,14,-0.264796485,0.732793997
4,1,15,0.862759592,9.655952452
4,1,16,-0.755996344,0.664628955
4,1,17,0.835371045,1.166874338
4,1,18,1.833125662,2.268994056
4,1,19,-0.143606664,0.126250805
4,1,20,-0.126250805,0.110992521
4,1,21,-3.766372136,1.811179999
4,1,22,-1.681155801,9.477976489
4,1,23,-3.477976489,9.057638962
4,1,24,-0.26105415,1.729503949
4,1,25,-0.021736416,0.01910942
4,1,26,-0.01910942,0.016799914
4,1,27,-1.729107093,1.520132536
4,1,28,-3.72E-09,3.27E-09
4,1,29,-1.520132536,1.336413999
4,1,30,-1.023136282,8.899483182
4,1,31,0.024710259,-0.00985385
4,1,32,-1.99014615,-0.250376785
4,1,33,-1.307801648,1.149744769
4,1,34,-2.868105038,8.521474696
4,1,35,0.290949667,-0.116023653
4,1,36,-2.129702977,0.872313634
4,1,37,-4.015495657,0.530195219
4,1,38,-0.530195219,0.466117458
4,1,39,-0.466117458,0.409783938
4,1,40,-8.409783938,-0.606596648
4,1,41,0.606596648,-0.241895995
4,1,42,-6.394517028,7.621695394
4,1,43,0.312934663,-0.124790735
4,1,44,0.124790735,-0.049763511
4,1,45,2.366532779,9.056284267
4,1,46,0.228609361,-0.091163855
4,1,47,-2.777658149,0.44195894
4,1,48,0.55804106,0.777466793
4,1,49,-1.777466793,0.562647631
4,1,50,-1.03318245,8.908315201
4,1,51,0.130452049,-0.052021105
4,1,52,-4.911823472,8.318195615
4,1,53,0.063474826,-0.025312217
4,1,54,0.098037076,-0.039094802
4,1,55,0.022675689,-0.009042513
4,1,56,0.038484981,-0.015346875
4,1,57,0.015346875,-0.00611996
4,1,58,-4.324596714,7.801939274
4,1,59,0.048137508,-0.019196068
4,1,60,2.196766155,9.123983069
5,1,1,-1.999999953,1.866861486
5,1,2,-9.499999953,1.367592221
5,1,3,4.000000047,2.1874385
5,1,4,-7.367592221,0.877137242
5,1,5,-3.877137242,0.619039181
5,1,6,1.355227199,1.708278255
5,1,7,5.500000047,2.257727954
5,1,8,-2.709526016,0.529154941
5,1,9,-5.529154941,0.161083325
5,1,10,-0.161083325,0.150360132
5,1,11,2.647640976,1.976426517
5,1,12,-1.479689021,1.381187255
5,1,13,0,1.905017375
5,1,14,0.385315752,1.132740004
5,1,15,-1.28145774,0.196152079
5,1,16,0.154928278,1.352331604
5,1,17,5.620753789,2.142632688
5,1,18,-2.08178719,0.443204208
5,1,19,-1.356066394,1.265794091
5,1,20,-7.561713045,1.058335591
5,1,21,-1.058335591,0.987883
5,1,22,1.43927637,1.628167597
5,1,23,1.371832403,1.692451164
5,1,24,-1.037488573,0.968423752
