subject,subjNum,condition,runNum,trial,playerNum,endowment,propReturned,returned,trialRT,optimal_choice,binned_trial_num,delta,q_val
3,4003,1,1,8,4,2.5,0.3,3,2.113763324,10,2,0.492622581,0.010281025
3,4003,1,1,9,1,0,0.1,0,0.837838236,0,3,0.479238323,-0.476413606
3,4003,1,1,10,4,2.5,0.05,0.5,1.534526906,0,3,-2.010281025,-0.369163773
3,4003,1,1,11,3,2.5,0.3,3,2.152378414,10,3,0.884900089,-0.379684328
3,4003,1,1,12,4,2.5,0.45,4.5,1.478022691,10,4,2.369163773,-0.355199495
3,4003,1,1,13,2,5,0.35,7,1.667924281,10,3,1.973564111,0.038068431
3,4003,1,1,14,2,5,0.5,10,1.858882638,10,4,4.961931569,0.06731495
3,4003,1,1,15,1,10,0.2,8,2.236460526,0,4,-1.516190538,-0.769993635
3,4003,1,1,16,3,2.5,0.25,2.5,1.079362454,10,4,0.385262418,-0.382991611
3,4003,1,1,17,1,0,0.05,0,0.935815231,0,5,0.769993635,-0.765455154
3,4003,1,1,18,4,2.5,0.3,3,0.948957636,10,5,0.860777584,-0.355704006
3,4003,1,1,19,2,0,0.45,0,1.527075409,10,5,-0.06173686,0.050083897
3,4003,1,1,20,2,2.5,0.5,5,1.347013945,10,6,2.449916103,0.064524144
3,4003,1,1,21,3,2.5,0.2,2,1.473903921,0,5,-0.116781258,-0.405261452
3,4003,1,1,22,3,2.5,0.3,3,0.879193097,10,6,0.905261452,-0.399925678
3,4003,1,1,23,1,-1,0.05,-1,-1,0,6,0,-0.766111925
3,4003,1,1,24,4,2.5,0.25,2.5,1.035017932,10,6,0.356360777,-0.354260322
3,4003,1,1,25,3,5,0.25,5,1.241452387,10,7,0.399925678,-0.397568444
3,4003,1,1,26,4,2.5,0.1,1,1.723942151,0,7,-1.145739678,-0.570521112
3,4003,1,1,27,1,0,0.1,0,1.785458169,0,7,0.77032712,-0.765786673
3,4003,1,1,28,4,-1,0.2,-1,-1,0,8,0,-0.570521111
3,4003,1,1,29,4,2.5,0.25,2.5,0.906266225,10,9,0.570521111,-0.567158357
3,4003,1,1,30,2,7.5,0.4,12,1.293119918,10,7,4.440120692,0.086050179
3,4003,1,2,31,2,7.5,0.4,12,2.937153253,10,8,4.413949821,0.112066795
3,4003,1,2,32,1,0,0.05,0,0.054596936,0,8,0.765786672,-0.761272987
3,4003,1,2,33,2,0,0.3,0,2.12021597,10,9,-0.112066795,0.09091395
3,4003,1,2,34,2,5,0.5,10,1.038498091,10,10,4.90908605,0.119848987
3,4003,1,2,35,2,5,0.45,9,0.994518455,10,11,3.880151013,0.142719296
3,4003,1,2,36,3,2.5,0.35,3.5,2.110871323,10,8,1.402195932,-0.393931137
3,4003,1,2,37,3,2.5,0.25,2.5,1.184306102,10,9,0.393931137,-0.391609236
3,4003,1,2,38,2,7.5,0.35,10.5,1.344666991,10,12,2.857280704,0.159560623
3,4003,1,2,39,3,2.5,0.15,1.5,1.133718339,0,10,-0.608390765,-0.50644428
3,4003,1,2,40,4,2.5,0,0,2.036064589,0,10,-1.93019107,-0.93413658
3,4003,1,2,41,3,0,0.2,0,0.841141504,0,11,0.513545485,-0.510518555
3,4003,1,2,42,3,2.5,0.25,2.5,1.580570577,10,12,0.510518555,-0.507509467
3,4003,1,2,43,4,0,0.15,0,1.36973175,0,11,0.93413658,-0.92863061
3,4003,1,2,44,4,0,0.25,0,2.115137281,10,12,0.92863061,-0.923157094
3,4003,1,2,45,1,0,0,0,0.998858303,0,9,0.771024766,-0.766480207
3,4003,1,2,46,4,0,0.2,0,0.916855112,0,13,0.923157094,-0.91771584
3,4003,1,2,47,4,0,0.4,0,1.069476294,10,14,0.91771584,-0.912306658
3,4003,1,2,48,1,0,0.15,0,0.801315958,0,10,0.766480207,-0.761962435
3,4003,1,2,49,3,2.5,0.35,3.5,2.732984494,10,13,1.507509467,-0.498623934
3,4003,1,2,50,3,2.5,0.2,2,0.914503242,0,14,-0.001376066,-0.49888367
3,4003,1,2,51,2,7.5,0.5,15,0.923041591,10,13,7.349783923,0.193537027
3,4003,1,2,52,4,0,0.35,0,0.967171918,10,15,0.912311719,-0.906934389
3,4003,1,2,53,1,0,0,0,0.806582444,0,11,0.761967496,-0.757476322
3,4003,1,2,54,1,0,0.15,0,1.99730027,0,12,0.757476322,-0.75301162
3,4003,1,2,55,2,7.5,0.45,13.5,1.145019215,10,14,5.806462973,0.227761366
3,4003,1,2,56,1,0,0.1,0,1.044730654,0,13,0.75301162,-0.748573234
3,4003,1,2,57,3,2.5,0.3,3,2.655234722,10,15,0.998883668,-0.492996067
3,4003,1,2,58,1,0,0,0,1.02604202,0,14,0.748573234,-0.744161008
3,4003,1,2,59,1,2.5,0,0,2.225780315,0,15,-1.755838992,-1.075579334
3,4003,1,2,60,2,0,0.4,0,0.06485498,10,15,-0.221301605,0.179530459
4,4004,1,1,1,3,0,0.2,0,1.49664409,0,1,-0.697957108,0.613604161
4,4004,1,1,2,4,2.5,0.3,3,1.173304162,10,1,-0.197957108,0.674032621
4,4004,1,1,3,1,5,0.05,1,0.864779412,0,1,-4.697957108,0.130176481
4,4004,1,1,4,1,2.5,0.15,1.5,1.51836793,0,2,-1.130176481,-0.006413168
4,4004,1,1,5,2,5,0.45,9,1.501330958,10,1,3.302042892,2.68322558
4,4004,1,1,6,2,10,0.4,16,0.79509752,10,2,3.31677442,4.677351005
